frameid;landmark;x;y;abs_x;abs_y
0;127;2,40136E+15;3,51837E+15;1,53687E+16;1,68882E+16
;;;;;
0;128;3,21314E+15;3,52998E+16;2,05641E+16;1,69439E+16
;;;;;
0;129;3,07006E+16;4,02205E+15;1,96484E+16;1,93058E+16
;;;;;
0;130;2,72662E+16;3,31297E+15;1,74504E+15;1,59023E+16
;;;;;
0;131;3,15365E+15;3,87777E+15;2,01834E+15;1,86133E+16
;;;;;
0;132;2,38957E+15;4,34577E+16;1,52933E+16;2,08597E+15
;;;;;
0;133;3,1357E+16;3,39282E+15;2,00685E+16;1,62855E+16
;;;;;
0;134;3,22643E+16;3,80728E+16;2,06492E+16;1,8275E+15
;;;;;
0;135;2,56862E+15;4,88444E+15;1,64391E+16;2,34453E+15
;;;;;
0;136;2,54645E+16;5,06348E+15;1,62973E+16;2,43047E+15
;;;;;
0;137;2,41469E+16;3,97982E+15;1,5454E+16;1,91031E+16
;;;;;
0;138;2,49656E+16;4,7181E+15;1,5978E+16;2,26469E+16
;;;;;
0;139;2,50691E+16;3,25024E+16;1,60442E+16;1,56011E+16
;;;;;
0;140;2,87129E+15;5,3105E+15;1,83762E+16;2,54904E+16
;;;;;
0;141;3,30942E+16;4,12889E+16;2,11803E+16;1,98187E+15
;;;;;
0;142;3,05769E+16;3,87672E+16;1,95692E+16;1,86083E+16
;;;;;
0;143;2,5244E+15;3,40768E+16;1,61562E+16;1,63568E+15
;;;;;
0;144;2,88862E+15;3,41559E+15;1,84872E+16;1,63948E+16
;;;;;
0;145;2,95973E+14;3,42842E+15;1,89422E+15;1,64564E+16
;;;;;
0;146;3,02902E+15;4,69756E+16;1,93857E+16;2,25483E+16
;;;;;
0;147;2,51042E+16;4,15768E+16;1,60667E+16;1,99569E+16
;;;;;
0;148;3,01838E+16;5,53562E+15;1,93176E+16;2,6571E+16
;;;;;
0;149;2,74963E+15;5,34541E+15;1,75976E+16;2,5658E+16
;;;;;
0;150;2,64731E+16;5,22794E+15;1,69428E+16;2,50941E+15
;;;;;
0;151;3,47091E+15;2,81126E+16;2,22138E+16;1,34941E+16
;;;;;
0;152;3,22188E+16;5,58903E+15;2,062E+15;2,68273E+14
;;;;;
0;153;3,02335E+15;3,42397E+15;1,93494E+16;1,6435E+15
;;;;;
0;154;3,08012E+15;3,41019E+16;1,97128E+16;1,63689E+16
;;;;;
0;155;3,11701E+15;3,40202E+16;1,99489E+16;1,63297E+14
;;;;;
0;156;2,55992E+14;3,20364E+14;1,63835E+16;1,53775E+16
;;;;;
0;157;3,07386E+15;3,28159E+15;1,96727E+16;1,57516E+15
;;;;;
0;158;3,00916E+15;3,22581E+15;1,92586E+16;1,54839E+15
;;;;;
0;159;2,93683E+15;3,20756E+15;1,87957E+15;1,53963E+16
;;;;;
0;160;2,86052E+16;3,22196E+16;1,83073E+16;1,54654E+16
;;;;;
0;161;2,81156E+15;3,25497E+15;1,7994E+16;1,56239E+16
;;;;;
0;162;2,44387E+16;3,2315E+15;1,56408E+16;1,55112E+15
;;;;;
0;163;2,83614E+15;3,38997E+15;1,81513E+15;1,62719E+16
;;;;;
0;164;3,33074E+16;4,28669E+15;2,13168E+16;2,05761E+14
;;;;;
0;165;3,0587E+16;4,32301E+15;1,95757E+16;2,07505E+16
;;;;;
0;166;3,14937E+16;4,04199E+16;2,01559E+15;1,94016E+15
;;;;;
0;167;3,21706E+16;4,2798E+15;2,05892E+16;2,0543E+16
;;;;;
0;168;3,41967E+16;3,33146E+16;2,18859E+16;1,5991E+15
;;;;;
0;169;2,65317E+16;5,05216E+15;1,69803E+15;2,42504E+16
;;;;;
0;170;2,75416E+15;5,18453E+14;1,76266E+16;2,48857E+15
;;;;;
0;171;3,02883E+16;5,40911E+15;1,93845E+16;2,59637E+15
;;;;;
0;172;2,47914E+14;4,88777E+15;1,58665E+16;2,34613E+15
;;;;;
0;173;3,11638E+16;3,35243E+16;1,99448E+16;1,60916E+15
;;;;;
0;174;3,26006E+15;3,62076E+15;2,08644E+16;1,73797E+15
;;;;;
0;175;3,23005E+15;5,46173E+15;2,06723E+16;2,62163E+16
;;;;;
0;176;2,86853E+16;5,4488E+15;1,83586E+16;2,61543E+16
;;;;;
0;177;2,42078E+16;4,2474E+15;1,5493E+15;2,03875E+16
;;;;;
0;178;3,16082E+15;4,65088E+15;2,02293E+16;2,23242E+16
;;;;;
0;179;3,14763E+16;4,67165E+16;2,01448E+16;2,24239E+16
;;;;;
0;180;3,13588E+15;4,70081E+16;2,00696E+16;2,25639E+16
;;;;;
0;181;3,12645E+16;4,74231E+15;2,00092E+16;2,27631E+16
;;;;;
0;182;3,05014E+15;4,89993E+16;1,95209E+16;2,35197E+16
;;;;;
0;183;3,05478E+15;4,65521E+14;1,95506E+15;2,2345E+16
;;;;;
0;184;3,03784E+16;4,64489E+15;1,94422E+15;2,22955E+16
;;;;;
0;185;3,02386E+16;4,63255E+15;1,93527E+16;2,22363E+16
;;;;;
0;186;2,90589E+15;4,50874E+16;1,85977E+16;2,1642E+16
;;;;;
0;187;2,62546E+14;4,20424E+16;1,6803E+16;2,01803E+15
;;;;;
0;188;3,27075E+15;3,52304E+16;2,09328E+16;1,69106E+16
;;;;;
0;189;3,21615E+16;3,29879E+15;2,05834E+16;1,58342E+16
;;;;;
0;190;3,15673E+15;3,30747E+16;2,02031E+16;1,58759E+16
;;;;;
0;191;3,07245E+15;4,66187E+15;1,96637E+16;2,2377E+16
;;;;;
0;192;2,56884E+14;4,51653E+15;1,64406E+15;2,16794E+16
;;;;;
0;193;3,30694E+15;3,30125E+16;2,11644E+15;1,5846E+15
;;;;;
0;194;2,98373E+16;5,02736E+15;1,90959E+16;2,41313E+16
;;;;;
0;195;3,38974E+14;3,6475E+15;2,16943E+16;1,7508E+16
;;;;;
0;196;3,3212E+16;3,55727E+15;2,12557E+15;1,70749E+15
;;;;;
0;197;3,39982E+16;3,54146E+16;2,17589E+16;1,6999E+16
;;;;;
0;198;3,18689E+15;3,79658E+16;2,03961E+16;1,82236E+16
;;;;;
0;199;3,2425E+16;5,30302E+15;2,0752E+16;2,54545E+15
;;;;;
0;200;3,2565E+15;5,13234E+15;2,08416E+16;2,46352E+16
;;;;;
0;201;3,11501E+15;5,09994E+15;1,9936E+16;2,44797E+16
;;;;;
0;202;2,80595E+15;4,79759E+16;1,79581E+16;2,30284E+16
;;;;;
0;203;2,99109E+16;4,11865E+16;1,9143E+16;1,97695E+16
;;;;;
